,...1,Species,Colony,depth,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
11,11,Oculina,6,4,Sdot Yam,20240121.01,1/21/2024,37592,415.6,1.1,19.5,16.35,225.4,433.5,208.1,0.48,347.9,0.18,0.59,355,0.33,1890,0.08,56599,--------,-------,907,5589,200,631.1,699.4,68.3,0.098,178.2,0,0.118,728,0.846,16244,0.036,19380,--------,-------,14346,14529,69.7
12,12,Oculina,6,4,Sdot Yam,20240121.01,1/21/2024,37602,431.3,1.1,19.5,16.36,237.5,456.3,218.8,0.479,308.8,0.12,0.57,350,0.35,1711,0.09,74909,--------,-------,866,7231,200,571.5,637.7,66.3,0.104,161.9,0.12,0.145,573,0.839,16455,0.016,16476,--------,-------,14109,14147,70.9
13,13,Oculina,6,4,Sdot Yam,20240121.01,1/21/2024,37613,360.3,1.1,19.5,16.36,215,419.2,204.2,0.487,363.9,0.13,0.6,395,0.31,2018,0.09,67128,--------,-------,948,6793,200,530.4,603.5,73.2,0.121,182.7,0.06,0.162,653,0.025,16718,0.813,16745,--------,-------,14073,14140,71.1
14,14,Oculina,6,4,Sdot Yam,20240121.01,1/21/2024,37623,471.3,1.2,19.5,16.34,303.3,576,272.7,0.473,374.5,0.11,0.52,327,0.39,1632,0.08,71441,--------,-------,886,6757,0,707,797.5,90.5,0.113,169.8,0.01,0.191,779,0.779,13548,0.03,13551,--------,-------,11029,11104,90.7
15,15,Oculina,6,4,Sdot Yam,20240121.02,1/21/2024,37633,345.4,1.1,19.5,16.35,255.8,495.4,239.7,0.484,360.7,0.13,0.52,308,0.39,1703,0.09,61752,--------,-------,907,6277,200,623.3,706.2,82.9,0.117,156.2,0.01,0.16,691,0.812,16576,0.027,16578,--------,-------,13958,14030,71.6
16,16,Oculina,2,4,Sdot Yam,20240121.02,1/21/2024,37855,427.5,1.5,19.6,16.31,361.2,668.6,307.4,0.46,404.3,0.08,0.49,321,0.42,1557,0.08,77233,--------,-------,892,7191,0,844.6,942,97.4,0.103,191,0,0.147,779,0.811,14666,0.042,14697,--------,-------,12541,12631,79.7
17,17,Oculina,2,4,Sdot Yam,20240121.02,1/21/2024,37864,383.4,1.4,19.6,16.3,277.5,483,205.6,0.426,370.2,0.1,0.55,367,0.37,1723,0.07,73040,--------,-------,913,6045,0,659.3,737.4,78,0.106,164.7,0.01,0.238,865,0.029,14621,0.733,14631,--------,-------,11253,11349,88.9
18,18,Oculina,2,4,Sdot Yam,20240121.02,1/21/2024,37875,291.1,1.4,19.6,16.3,212.4,375.3,162.9,0.434,431.6,0.09,0.41,176,0.51,1238,0.09,44250,--------,-------,763,4462,200,398.4,448.9,50.5,0.112,172.5,0.17,0.186,802,0.789,16516,0.026,16522,--------,-------,13522,13598,74
19,19,Oculina,2,4,Sdot Yam,20240121.02,1/21/2024,37884,393.1,1.4,19.6,16.3,236.3,582.9,346.6,0.595,631.8,0.01,0.17,298,0.83,2264,0,2268,--------,-------,1938,1939,0,725.9,808.3,82.4,0.102,222.3,0.21,0.128,872,0.796,14288,0.076,27773,--------,-------,12428,13592,80.5
20,20,Oculina,2,4,Sdot Yam,20240121.02,1/21/2024,37895,408.8,1.3,19.6,16.3,398.7,707.5,308.8,0.436,414.2,0.07,0.53,397,0.39,1785,0.08,72259,--------,-------,979,6690,0,838,926.3,88.3,0.095,200.7,0,0.159,856,0.79,14650,0.051,17626,--------,-------,12342,12612,81
21,21,Oculina,5,4,Sdot Yam,20240121.02,1/21/2024,38126,418.4,1.4,19.5,16.26,262.6,498.2,235.5,0.473,366.5,0.12,0.54,330,0.37,1582,0.09,71200,--------,-------,834,7070,200,623.8,712.1,88.3,0.124,164.9,0,0.186,659,0.778,15626,0.036,15641,--------,-------,12734,12839,78.5
22,22,Oculina,5,4,Sdot Yam,20240121.02,1/21/2024,38134,468.6,1.4,19.5,16.26,231,464,233,0.502,381.5,0.16,0.56,346,0.35,1592,0.09,75418,--------,-------,826,7638,200,603.9,683.7,79.8,0.117,206.3,0,0.16,683,0.784,16274,0.056,16331,--------,-------,13630,13780,73.4
23,23,Oculina,5,4,Sdot Yam,20240121.02,1/21/2024,38143,580.2,1.4,19.6,16.27,207.4,404.4,197,0.487,289.3,0.13,0.61,372,0.3,1832,0.09,88301,--------,-------,858,8937,300,513.4,575.5,62.1,0.108,182.5,0,0.158,559,0.806,15339,0.037,15340,--------,-------,12920,13009,77.4
24,24,Oculina,5,4,Sdot Yam,20240121.02,1/21/2024,38152,494.1,1.4,19.6,16.26,300,565.7,265.8,0.47,347.2,0.11,0.56,352,0.36,1746,0.09,68925,--------,-------,895,6682,0,600.8,683.3,82.5,0.121,196.3,0,0.199,719,0.743,14479,0.058,14480,--------,-------,11576,11744,86.4
25,25,Oculina,5,4,Sdot Yam,20240121.03,1/21/2024,38161,386.3,1.5,19.6,16.26,297.7,576.5,278.8,0.484,366.6,0.09,0.56,351,0.36,1800,0.08,106095,--------,-------,924,9486,0,806.2,902.9,96.6,0.107,198.1,0,0.143,698,0.814,15444,0.043,18156,--------,-------,13244,13457,75.5
26,26,Oculina,3,4,Sdot Yam,20240121.03,1/21/2024,38384,302.5,1.6,19.6,16.24,220.3,414,193.7,0.468,362,0.12,0.45,297,0.43,1370,0.12,234548,--------,-------,819,28200,400,557,627.9,70.9,0.113,169.2,0.01,0.161,747,0.018,16416,0.821,16430,--------,-------,13859,13905,72.2
27,27,Oculina,3,4,Sdot Yam,20240121.03,1/21/2024,38396,291.7,1.5,19.6,16.23,250.5,456.5,205.9,0.451,382,0.2,0.56,488,0.34,1960,0.1,67921,--------,-------,1047,8061,200,579.6,652.2,72.6,0.111,167.5,0.02,0.153,702,0.031,17314,0.817,17323,--------,-------,14703,14783,68
28,28,Oculina,3,4,Sdot Yam,20240121.03,1/21/2024,38407,341.9,1.6,19.6,16.23,123.3,222.6,99.3,0.446,311.1,0.16,0.63,412,0.27,2646,0.11,89206,--------,-------,1079,10401,500,251.1,281.7,30.6,0.108,184.1,0,0.199,768,0.033,16916,0.767,16924,--------,-------,13591,13702,73.6
29,29,Oculina,3,4,Sdot Yam,20240121.03,1/21/2024,38417,256.7,1.5,19.6,16.23,180.3,333.8,153.5,0.46,365.4,0.13,0.63,509,0.26,2465,0.11,102162,--------,-------,1086,12023,300,444.5,503.5,59,0.117,159.3,0.08,0.182,600,0.794,18027,0.024,18062,--------,-------,14782,14860,67.6
30,30,Oculina,3,4,Sdot Yam,20240121.03,1/21/2024,38427,271.9,1.5,19.6,16.23,262.2,487.2,225,0.462,410.5,0.15,0.52,380,0.38,1811,0.1,87681,--------,-------,978,9870,200,578.2,652.8,74.6,0.114,167.5,0.03,0.173,695,0.804,17888,0.023,17901,--------,-------,14841,14910,67.4
31,31,Oculina,1,10,Sdot Yam,20240929,9/29/2024,30270,900,13.1,51.4,16.65,144.3,240.1,95.8,0.399,358.9,0.17,0.62,334,0.3,1715,0.08,64976,--------,-------,789,5689,300,217.7,252.6,34.9,0.138,223.5,0,0.48,822,0.068,7955,0.452,7964,--------,-------,4287,4535,233.2
32,32,Oculina,1,10,Sdot Yam,20240929,9/29/2024,30283,900,12.8,51.7,16.64,85,124.2,39.2,0.316,325,0.26,0.66,342,0.28,2975,0.06,464628,--------,-------,1121,27330,700,108,131.2,23.2,0.177,188,0,0.574,483,0.018,495,0.408,4502,--------,-------,2154,2124,464.2
33,33,Oculina,1,10,Sdot Yam,20240929,9/29/2024,30295,852.4,12.5,50.9,16.64,189.1,330.2,141.1,0.427,453.5,0.17,0.6,475,0.31,1489,0.09,47475,--------,-------,820,4916,300,347.4,392.6,45.3,0.115,250.9,0,0.293,779,0.649,9015,0.058,9038,--------,-------,6451,6600,155
34,34,Oculina,1,10,Sdot Yam,20240929,9/29/2024,30306,833.9,12,50.6,16.62,174.2,314.1,139.9,0.446,421.6,0.1,0.63,353,0.28,1727,0.09,66195,--------,-------,781,6382,300,334.7,382.7,48,0.125,257.3,0,0.277,857,0.634,7629,0.089,7655,--------,-------,5569,5754,179.6
35,35,Oculina,1,10,Sdot Yam,20240929.01,9/29/2024,30324,900,15.1,48.3,16.61,117.6,193.6,75.9,0.392,346.6,0.05,0.64,333,0.28,1887,0.08,102900,--------,-------,804,9179,500,159,188.3,29.3,0.156,251.5,0.08,0.039,781,0.542,783,0.419,7417,--------,-------,3678,3565,271.9
36,36,Oculina,3,10,Sdot Yam,20240929.01,9/29/2024,30363,900,10.7,45.4,16.6,62.2,91.5,29.3,0.32,289.7,0.13,0.46,552,0.44,892,0.1,148915,--------,-------,719,15652,800,76.8,92.4,15.6,0.169,165.9,0,0.614,555,0.022,556,0.364,6013,--------,-------,2586,2542,386.7
37,37,Oculina,3,10,Sdot Yam,20240929.01,9/29/2024,30373,900,10.8,43.8,16.59,74.1,112.8,38.7,0.343,318.1,0.23,0.75,349,0.17,3200,0.08,83768,--------,-------,887,7572,700,99.2,113.8,14.6,0.128,258.8,0,0.447,824,0.056,836,0.497,7730,--------,-------,4460,4259,224.2
38,38,Oculina,3,10,Sdot Yam,20240929.01,9/29/2024,30383,776.9,17.5,42.4,16.59,152.8,278.4,125.7,0.451,485.5,0.23,0.6,352,0.31,1381,0.08,90845,--------,-------,701,8315,400,308,351.4,43.4,0.123,298.9,0,0.286,897,0.637,8665,0.077,8712,--------,-------,6260,6450,159.7
39,39,Oculina,3,10,Sdot Yam,20240929.01,9/29/2024,30394,795.1,20.1,41.2,16.58,133.1,243.7,110.7,0.454,490.7,0.22,0.75,385,0.18,2663,0.07,146112,--------,-------,818,11551,400,253.4,292.5,39.1,0.134,296.8,0,0.374,967,0.538,7429,0.088,7468,--------,-------,4780,5015,209.2
40,40,Oculina,3,10,Sdot Yam,20240929.01,9/29/2024,30404,900,20.6,43.6,16.57,71.7,108,36.2,0.336,314.1,0.3,0.6,283,0.29,1638,0.11,1144903,--------,-------,726,128455,700,100.3,122.8,22.5,0.183,139.1,0.01,0.056,341,0.537,798,0.407,5874,--------,-------,2988,2839,334.7
41,41,Oculina,2,10,Sdot Yam,20240929.01,9/29/2024,30441,900,10.1,39.5,16.56,73.8,112.9,39.1,0.346,355.1,0.01,0.79,368,0.13,5270,0.08,194379,--------,-------,1068,16206,700,113.3,132.6,19.3,0.146,266.8,0,0.499,677,0.025,1184,0.476,5944,--------,-------,3247,3195,308
42,42,Oculina,2,10,Sdot Yam,20240929.01,9/29/2024,30450,900,10.1,42.4,16.56,51.3,78.4,27.1,0.345,273.1,0,0.56,380,0.31,1216,0.13,102869,--------,-------,679,13581,900,67,80.2,13.2,0.165,349.3,0,0.256,10,0.461,876,0.283,6963,--------,-------,3191,2377,313.4
43,43,Oculina,2,10,Sdot Yam,20240929.01,9/29/2024,30459,900,10.1,39.2,16.55,73.4,121,47.6,0.393,383.3,0.12,0.72,334,0.17,1712,0.11,57204,--------,-------,598,6880,700,121.6,140.9,19.4,0.137,269.7,0,0.428,929,0.062,932,0.51,7566,--------,-------,4539,4314,220.3
44,44,Oculina,2,10,Sdot Yam,20240929.01,9/29/2024,30469,900,10.2,43.7,16.55,61.1,97.8,36.7,0.375,313.9,0.06,0.65,369,0.25,1691,0.1,147360,--------,-------,737,14830,800,86.9,102.2,15.2,0.149,279.6,0,0.017,633,0.454,636,0.529,5447,--------,-------,3225,3181,310.1
45,45,Oculina,2,10,Sdot Yam,20240929.02,9/29/2024,30478,900,10,40.9,16.54,81.8,130.3,48.5,0.372,365.3,0.17,0.73,425,0.18,3105,0.08,115764,--------,-------,961,10542,700,104.6,124.3,19.7,0.158,206.8,0,0.51,734,0.02,6140,0.47,6709,--------,-------,3598,3649,277.9
46,46,Oculina,5,10,Sdot Yam,20240929.02,9/29/2024,30507,900,9.7,39.4,16.53,103.5,172.4,68.9,0.4,457.2,0.09,0.73,380,0.17,1981,0.1,116670,--------,-------,680,12305,600,167,193.4,26.4,0.137,304.1,0,0.355,616,0.569,4808,0.076,11146,--------,-------,3196,3797,312.9
47,47,Oculina,5,10,Sdot Yam,20240929.02,9/29/2024,30515,900,10.3,38.8,16.53,95.1,140.6,45.5,0.323,421.2,0.11,0.76,433,0.14,4892,0.1,166897,--------,-------,1110,17726,600,130.3,147.3,17,0.115,292.2,0.01,0.448,960,0.036,960,0.515,5882,--------,-------,3592,3497,278.4
48,48,Oculina,5,10,Sdot Yam,20240929.02,9/29/2024,30524,900,9.8,38.5,16.53,122.8,174.5,51.8,0.297,384.1,0,0.55,260,0.34,1384,0.11,237815,--------,-------,687,26308,500,147,164.8,17.8,0.108,291.4,0.01,0.405,954,0.069,965,0.526,7073,--------,-------,4413,4174,226.6
49,49,Oculina,5,10,Sdot Yam,20240929.02,9/29/2024,30535,900,12.8,38.3,16.52,134.7,222.7,87.9,0.395,444.4,0.19,0.77,456,0.17,4569,0.07,186053,--------,-------,1197,13425,400,216.9,247.2,30.4,0.123,316.6,0,0.354,889,0.559,6957,0.087,6985,--------,-------,4607,4814,217.1
50,50,Oculina,5,10,Sdot Yam,20240929.02,9/29/2024,30546,900,19.5,38.2,16.52,107.4,146.6,39.2,0.267,384,0.29,0.71,462,0.19,5423,0.09,232246,--------,-------,1524,23387,600,131.2,148.7,17.5,0.118,291.4,0,0.46,829,0.066,1897,0.474,6171,--------,-------,3542,3433,282.3
51,51,Oculina,4,10,Sdot Yam,20240929.02,9/29/2024,30621,768.1,8.3,38.8,16.5,127.8,237.2,109.4,0.461,504.5,0.18,0.64,429,0.26,1831,0.1,61480,--------,-------,834,7034,500,260.6,297.1,36.6,0.123,235.5,0,0.253,795,0.074,7369,0.673,7383,--------,-------,5584,5716,179.1
52,52,Oculina,4,10,Sdot Yam,20240929.02,9/29/2024,30630,900,8.2,39.7,16.49,143.6,246.3,102.7,0.417,470.5,0.12,0.67,428,0.23,1772,0.09,83081,--------,-------,775,8375,400,259.3,295.4,36.1,0.122,262.4,0,0.329,889,0.578,7128,0.093,7167,--------,-------,4866,5079,205.5
53,53,Oculina,4,10,Sdot Yam,20240929.02,9/29/2024,30640,721.4,6.8,38.2,16.49,130.3,237.2,107,0.451,465.9,0.16,0.56,324,0.35,1248,0.09,57146,--------,-------,680,6038,500,229.4,262.9,33.5,0.127,260.4,0,0.309,866,0.621,8401,0.07,8412,--------,-------,5900,6076,169.5
54,54,Oculina,4,10,Sdot Yam,20240929.02,9/29/2024,30650,900,7,38.3,16.48,113.1,173,59.9,0.346,438.4,0.2,0.68,462,0.21,1765,0.11,165832,--------,-------,764,18713,500,164.1,187.9,23.8,0.127,273.7,0,0.48,758,0.075,6402,0.445,7536,--------,-------,4018,4198,248.9
55,55,Oculina,4,10,Sdot Yam,20240929.03,9/29/2024,30659,779.1,7.1,38.5,16.48,157,273.3,116.3,0.426,547.3,0.17,0.65,365,0.26,1502,0.09,75481,--------,-------,692,7230,400,297.8,340.5,42.7,0.125,276.2,0,0.319,936,0.583,6802,0.099,6835,--------,-------,4728,4936,211.5
56,56,Oculina,6,10,Sdot Yam,20240929.03,9/29/2024,30671,900,7.5,38.8,16.48,87.2,129.6,42.4,0.327,450.7,0.18,0.74,381,0.18,2437,0.08,236631,--------,-------,794,19724,700,116.5,133.9,17.4,0.13,258.9,0,0.459,916,0.438,5870,0.104,6015,--------,-------,3335,3613,299.8
57,57,Oculina,6,10,Sdot Yam,20240929.03,9/29/2024,30680,900,7.5,38.9,16.47,135.7,208.2,72.5,0.348,521.2,0.05,0.25,436,0.64,820,0.11,72782,--------,-------,713,8893,400,212.4,240.5,28,0.117,312.4,0,0.385,914,0.507,6196,0.108,6251,--------,-------,3917,4169,255.3
58,58,Oculina,6,10,Sdot Yam,20240929.03,9/29/2024,30688,900,7.6,38.4,16.47,81.9,112.3,30.4,0.271,291.5,0,0.74,357,0.12,4142,0.14,61088,--------,-------,889,9587,700,95.7,108.7,13,0.12,238.7,0.01,0.052,1195,0.714,1206,0.234,11616,--------,-------,3773,3638,265.1
59,59,Oculina,6,10,Sdot Yam,20240929.03,9/29/2024,30701,900,7.9,38.4,16.46,104.2,161,56.8,0.353,501.4,0.08,0.66,278,0.24,1622,0.1,70181,--------,-------,633,7336,600,151.8,172.3,20.5,0.119,281.3,0,0.393,838,0.502,5412,0.105,5455,--------,-------,3404,3618,293.8
60,60,Oculina,6,10,Sdot Yam,20240929.03,9/29/2024,30710,900,8.4,39.6,16.46,67.9,92.4,24.6,0.266,243.8,0,0.5,217,0.39,1046,0.12,251820,--------,-------,580,29651,800,93.8,106.9,13.1,0.123,281.1,0,0.005,1014,0.715,1266,0.28,6185,--------,-------,2650,2643,377.3
61,61,Oculina,1,25,Sdot Yam,20241014,10/14/2024,38271,900,26.5,99.2,16.64,10.5,20.8,10.3,0.494,247.5,0.59,0.42,135,0.47,1568,0.1,1049213,--------,-------,893,109730,1500,18.4,24.8,6.4,0.257,182.6,0,0.408,138,0.578,4990,0.014,10525,--------,-------,2982,3089,335.4
62,62,Oculina,1,25,Sdot Yam,20241014,10/14/2024,38284,900,16.8,100.1,16.63,12.6,28.6,16.1,0.561,183,0.23,0.66,287,0.24,2656,0.09,901055,--------,-------,922,84187,1500,25.3,30.2,4.9,0.164,351.6,0.01,0.148,695,0.799,8153,0.053,8174,--------,-------,6986,7049,143.1
63,63,Oculina,3,25,Sdot Yam,20241014,10/14/2024,38334,900,14.4,101.4,16.6,3.6,6.4,2.8,0.438,425.8,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,4.2,8.8,4.5,0.517,2352.1,0.7,0.784,306,0.197,8857,0.019,177141,--------,-------,2024,5316,494.1
64,64,Oculina,3,25,Sdot Yam,20241014,10/14/2024,38359,775.3,13,101.5,16.59,130.5,243.3,112.7,0.464,343.2,0.1,0.58,332,0.33,1774,0.09,123638,--------,-------,860,12169,500,255.3,287.5,32.2,0.112,244.3,0,0.224,779,0.069,10128,0.707,10142,--------,-------,7890,8044,126.7
65,65,Oculina,3,25,Sdot Yam,20241014.01,10/14/2024,38370,674.6,20.2,101.6,16.59,158.4,313.2,154.8,0.494,368.8,0.02,0.57,301,0.34,1679,0.09,84262,--------,-------,817,8132,400,262.9,302.5,39.6,0.131,210.5,0,0.248,728,0.056,10478,0.695,10495,--------,-------,7925,8069,126.2
66,66,Oculina,3,25,Sdot Yam,20241014.01,10/14/2024,38382,503.6,29.1,101.6,16.58,110.4,223.4,113,0.506,323,0.14,0.68,394,0.21,2511,0.11,110141,--------,-------,893,12419,500,252.8,290.5,37.8,0.13,177.8,0,0.223,627,0.051,14179,0.727,14186,--------,-------,11007,11167,90.9
67,67,Oculina,3,25,Sdot Yam,20241014.01,10/14/2024,38392,675.8,25.7,101.5,16.57,138.2,253.2,115,0.454,350.8,0.11,0.61,453,0.3,2691,0.08,156066,--------,-------,1196,14339,400,245.8,283.5,37.6,0.133,194.3,0,0.28,611,0.665,10630,0.055,10643,--------,-------,7664,7827,130.5
68,68,Oculina,3,25,Sdot Yam,20241014.01,10/14/2024,38408,584.8,20,101.6,16.57,154.4,293.6,139.2,0.474,357.5,0.11,0.6,374,0.31,2154,0.09,99106,--------,-------,981,9924,400,313.5,357.4,43.9,0.123,234.8,0,0.224,739,0.719,11822,0.057,11841,--------,-------,9191,9341,108.8
69,69,Oculina,3,25,Sdot Yam,20241014.01,10/14/2024,38453,555.4,13.2,101.7,16.56,191.2,376.5,185.3,0.492,517.1,0.11,0.49,268,0.42,1307,0.09,49447,--------,-------,752,5104,400,388.5,445,56.5,0.127,298.3,0,0.228,927,0.07,8719,0.702,8728,--------,-------,6818,6952,146.7
70,70,Oculina,2,25,Sdot Yam,20241014.01,10/14/2024,38483,721.5,12.7,101.7,16.54,66.4,125.1,58.7,0.469,383.6,0.26,0.61,516,0.28,1643,0.12,40034,--------,-------,867,5482,800,132.4,155.1,22.7,0.146,357.3,0.01,0.234,821,0.702,9049,0.063,9058,--------,-------,6992,7123,143
71,71,Oculina,4,25,Sdot Yam,20241014.01,10/14/2024,38541,555.5,36.7,101.6,16.53,93.1,175.7,82.6,0.47,512.1,0.16,0.69,508,0.22,2216,0.09,67341,--------,-------,914,6984,500,185.1,215.3,30.3,0.141,255.5,0,0.271,728,0.654,7666,0.075,7680,--------,-------,5635,5789,177.5
72,72,Oculina,4,25,Sdot Yam,20241014.01,10/14/2024,38557,648.7,36.9,101.7,16.51,101.5,194,92.5,0.477,486,0.1,0.55,303,0.36,1304,0.09,72060,--------,-------,702,7337,600,208.6,237.2,28.6,0.121,280.9,0,0.228,826,0.702,8191,0.07,8200,--------,-------,6388,6515,156.5
73,73,Oculina,4,25,Sdot Yam,20241014.01,10/14/2024,38567,485.7,36.7,101.7,16.51,136.4,270.5,134.1,0.496,537.7,0.1,0.53,371,0.37,1559,0.1,54926,--------,-------,854,6342,400,284.1,326.3,42.2,0.129,247.9,0,0.223,918,0.715,9805,0.062,9817,--------,-------,7695,7827,130
74,74,Oculina,4,25,Sdot Yam,20241014.01,10/14/2024,38578,498.3,36.2,101.7,16.5,109.2,213.9,104.7,0.49,540.7,0.12,0.69,448,0.23,2282,0.08,81030,--------,-------,909,7689,500,225,258.2,33.2,0.129,263.3,0,0.227,887,0.065,8491,0.709,8492,--------,-------,6648,6768,150.4
75,75,Oculina,4,25,Sdot Yam,20241014.02,10/14/2024,38588,468.5,35.6,101.8,16.51,133.4,264.9,131.5,0.496,495.2,0.05,0.65,383,0.26,2008,0.09,77924,--------,-------,842,7635,400,289.1,331.3,42.2,0.127,277.2,0,0.196,777,0.744,9126,0.06,9141,--------,-------,7381,7487,135.5
